,name,points_jan,points_feb,points_mar,points_apr,points_may,points_june,points_july,points_aug,points_sept,points_oct,points_nov,points_dec,points_total
1,yablko,18,18,25,18,25,26,25,14,18,26,25,4,242
2,boomer,12,8,15,8,19,22,26,22,10,12,22,8,184
3,Hades🐍,10,10,8,11,18,8,16,16,26,18,12,18,171
4,eniac,0,19,16,17,16,17,17,8,14,17,12,16,169
5,Joey Vancouver,15,12,20,12,10,12,10,25,19,8,15,10,168
6,myster,29,27,1,25,0,0,0,0,0,0,0,29,111
7,hostinko,8,0,0,2,8,6,1,2,6,1,14,13,61
8,Mako,0,7,6,4,0,10,0,10,0,0,1,0,38
9,Celo,6,2,10,0,6,0,0,0,2,2,4,2,34
10,Drobec,0,0,0,4,1,0,8,0,1,10,0,8,32
11,Shape1ess,0,1,4,1,0,6,6,4,4,0,4,1,31
12,kronoss,0,0,0,0,0,0,0,0,10,11,6,0,27
13,HusKy,0,6,0,0,2,0,4,2,0,4,2,0,20
14,tapiq,0,0,0,8,0,2,0,6,0,0,0,0,16
15,Tulex,2,0,0,0,1,1,0,0,0,0,4,0,8
16,vulo,3,0,0,0,4,0,0,0,0,0,0,0,7
17,Alex,5,0,2,0,0,0,0,0,0,0,0,0,7
18,Than3s,0,0,0,0,0,0,0,0,0,0,4,0,4
19,Naga,0,0,0,0,0,0,2,0,0,0,0,0,2
20,ghst0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,Lesohorár,0,0,0,0,1,0,0,0,0,0,0,0,1
22,fun3s,0,0,0,0,0,0,0,1,0,0,0,0,1
