,name,january,february,march,april,may,june,july,august,total
1,boomer,18,15,15,16,25,29,15,29,162
2,Hades🐍,27,12,25,25,18,17,18,15,157
3,Joey Vancouver,4,18,29,18,19,18,16,12,134
4,yablko,6,27,0,15,12,13,25,22,120
5,hostinko,10,8,6,10,8,6,8,6,62
6,HusKy,15,14,12,6,8,4,0,2,61
7,Drobec,1,0,12,10,10,0,5,10,48
8,Tulex,1,8,8,1,4,0,2,4,28
9,Diagnostik#7552,0,0,10,4,0,4,0,4,22
10,Celo,0,0,6,0,4,1,0,8,19
11,Naga,0,4,0,0,1,0,12,0,17
12,Mako,0,4,0,0,0,10,0,0,14
13,tapiq,0,0,0,0,0,8,6,0,14
14,eniac,12,0,0,0,0,0,0,0,12
15,kronoss,8,0,0,0,0,0,0,0,8
16,vulo,0,0,0,3,0,0,1,1,5
17,Shape1ess,2,1,1,0,0,0,0,0,4
18,fun3s,4,0,0,0,0,0,0,0,4
